LotArea,Neighborhood,YearBuilt,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,SalePrice
8450,5,2003,706,856,856,1710,548,208500
9600,24,1976,978,1262,1262,1262,460,181500
11250,5,2001,486,920,920,1786,608,223500
9550,6,1915,216,756,961,1717,642,140000
14260,15,2000,655,1145,1145,2198,836,250000
14115,11,1993,732,796,796,1362,480,143000
10084,21,2004,1369,1686,1694,1694,636,307000
10382,14,1973,859,1107,1107,2090,484,200000
6120,17,1931,0,952,1022,1774,468,129900
7420,3,1939,851,991,1077,1077,205,118000
11200,19,1965,906,1040,1040,1040,384,129500
11924,16,2005,998,1175,1182,2324,736,345000
12968,19,1962,737,912,912,912,352,144000
10652,5,2006,0,1494,1494,1494,840,279500
10920,12,1960,733,1253,1253,1253,352,157000
6120,3,1929,0,832,854,854,576,132000
11241,12,1970,578,1004,1004,1004,480,149000
10791,19,1967,0,0,1296,1296,516,90000
13695,20,2004,646,1114,1114,1114,576,159000
7560,12,1958,504,1029,1339,1339,294,139000
14215,16,2005,0,1158,1158,2376,853,325300
7449,9,1930,0,637,1108,1108,280,139400
9742,5,2002,0,1777,1795,1795,534,230000
4224,10,1976,840,1040,1060,1060,572,129900
8246,19,1968,188,1060,1060,1060,270,154000
14230,16,2007,0,1566,1600,1600,890,256300
7200,12,1951,234,900,900,900,576,134800
11478,16,2007,1218,1704,1704,1704,772,306000
16321,12,1957,1277,1484,1600,1600,319,207500
6324,3,1927,0,520,520,520,240,68500
8500,9,1920,0,649,649,1317,250,40000
8544,19,1966,0,1228,1228,1228,271,149350
11049,5,2007,0,1234,1234,1234,484,179900
10552,12,1959,1018,1398,1700,1700,447,165500
7313,16,2005,1153,1561,1561,1561,556,277500
13418,16,2004,0,1117,1132,2452,691,309000
10859,5,1994,0,1097,1097,1097,672,145000
8532,12,1954,1213,1297,1297,1297,498,153000
7922,12,1953,731,1057,1057,1057,246,109000
6040,7,1955,0,0,1152,1152,0,82000
8658,12,1965,643,1088,1324,1324,440,160000
16905,23,1959,967,1350,1328,1328,308,170000
9180,20,1983,747,840,884,884,504,144000
9200,5,1975,280,938,938,938,308,130250
7945,12,1959,179,1150,1150,1150,300,141000
7658,16,2005,456,1752,1752,1752,576,319900
12822,11,2003,1351,1434,1518,2149,670,239686
11096,21,2006,24,1656,1656,1656,826,249700
4456,17,1920,0,736,736,1452,0,113000
7742,19,1966,763,955,955,955,386,127000
13869,8,1997,182,794,794,1470,388,177000
6240,3,1934,0,816,816,1176,528,114500
8472,9,1963,104,816,816,816,516,110000
50271,24,1981,1810,1842,1842,1842,894,385000
7134,12,1955,384,384,1360,1360,572,130000
10175,12,1964,490,1425,1425,1425,576,180500
2645,21,1999,649,970,983,1739,480,172500
11645,5,2004,0,860,860,1720,565,196500
13682,22,2006,0,1410,1426,2945,641,438780
7200,5,1972,632,780,780,780,352,124900
13072,20,2004,941,1158,1158,1158,576,158000
7200,9,1920,0,530,581,1111,288,101000
6442,16,2006,24,1370,1370,1370,484,202500
10300,17,1921,0,576,902,1710,480,140000
9375,5,1997,739,1057,1057,2034,645,219500
9591,16,2004,0,1143,1143,2473,852,317000
19900,12,1970,912,1947,2207,2207,576,180000
10665,5,2003,1013,1453,1479,1479,558,226000
4608,17,1945,0,747,747,747,220,80000
15593,4,1953,603,1304,1304,2287,667,225000
13651,12,1973,1880,2223,2223,2223,516,244000
7599,11,1982,565,845,845,845,360,129500
10141,8,1998,0,832,885,1718,427,185000
10200,12,1954,320,1086,1086,1086,490,144900
5790,17,1915,0,840,840,1605,379,107400
1596,10,1973,462,462,526,988,297,91000
8475,12,1956,228,952,952,952,283,135750
8635,3,1948,336,672,1072,1285,240,127000
10778,19,1968,0,1768,1768,1768,0,136500
10440,17,1910,0,440,682,1230,440,110000
13000,12,1968,448,896,1182,2142,509,193500
4500,11,1998,1201,1237,1337,1337,405,153500
10206,21,2007,33,1563,1563,1563,758,245000
8892,12,1960,0,1065,1065,1065,461,126500
8530,8,1995,0,384,804,1474,400,168500
16059,15,1991,0,1288,1301,2417,462,260000
11911,8,2005,0,684,684,1560,400,174000
3951,21,2009,0,612,612,1224,528,164500
8470,9,1915,0,1013,1013,1526,0,85000
8070,5,1994,588,990,990,990,0,123600
7200,12,1950,0,0,1040,1040,420,109900
8500,12,1961,600,1235,1235,1235,480,98600
13360,6,1921,713,876,964,964,432,163500
7200,17,1910,1046,1214,1260,2291,506,133900
9337,5,1997,648,824,905,1786,684,204750
9765,8,1993,310,680,680,1470,420,185000
10264,5,1999,1162,1588,1588,1588,472,214000
10921,7,1965,520,960,960,960,432,94750
10625,7,1920,108,458,835,835,366,83000
9320,12,1959,569,950,1225,1225,0,128950
10603,14,1977,1200,1610,1610,1610,480,205000
9206,20,1985,0,741,977,1732,476,178000
7018,20,1979,0,0,1535,1535,410,118964
10402,5,2009,0,1226,1226,1226,740,198900
7758,9,1931,224,1040,1226,1818,240,169500
9375,21,2003,0,1053,1053,1992,648,250000
10800,17,1885,0,641,1047,1047,273,100000
6000,17,1948,104,789,789,789,250,115000
8500,9,1919,0,793,997,1517,0,115000
11751,14,1977,705,1844,1844,1844,546,190000
9525,7,1954,444,994,1216,1855,325,136900
7750,8,2000,250,384,774,1430,400,180000
9965,5,2007,984,1264,1282,2696,792,383970
21000,6,1953,35,1809,2259,2259,450,217000
7259,6,1945,774,1028,1436,2320,180,259500
3230,21,1999,419,729,729,1458,440,176000
11616,19,1962,170,1092,1092,1092,288,139000
8536,7,2006,0,1125,1125,1125,430,155000
12376,20,1990,1470,1673,1699,3222,594,320000
8461,5,2005,0,728,728,1456,390,163990
21453,4,1969,938,938,988,988,540,180000
6060,9,1939,0,732,772,1123,264,100000
9464,12,1958,570,1080,1080,1080,288,136000
7892,20,1993,300,1199,1199,1199,530,153900
17043,14,1979,0,1362,1586,1586,435,181000
6780,9,1935,490,520,520,754,0,84500
4928,13,1976,120,1078,958,958,440,128000
4388,17,1930,116,672,840,840,0,87000
7590,12,1966,512,660,660,1348,453,155000
8973,12,1958,567,1008,1053,1053,750,150000
14200,12,1966,445,924,1216,2157,487,226000
12224,8,2000,695,992,1022,2054,390,244000
7388,12,1959,405,1063,1327,1327,624,150750
6853,23,2001,1005,1267,1296,1296,471,220000
10335,19,1968,570,1461,1721,1721,440,180000
10400,14,1970,0,1304,1682,1682,530,174000
10355,12,1967,695,1214,1214,1214,318,143000
11070,11,1988,0,1907,1959,1959,766,171000
9066,5,1999,668,1004,1004,1852,660,230000
15426,5,1997,821,928,928,1764,470,231500
10500,12,1971,432,864,864,864,0,115000
11645,5,2005,1300,1734,1734,1734,660,260000
8520,12,1952,507,910,910,1385,720,166000
10335,5,1999,679,1490,1501,1501,577,204000
9100,19,1963,1332,1728,1728,1728,504,125000
2522,7,2004,0,970,970,1709,380,130000
6120,3,1931,209,715,875,875,180,105000
9505,8,2001,0,884,884,2035,434,222500
7500,20,2004,680,1080,1080,1080,0,141000
6240,3,1936,0,896,896,1344,240,115000
10356,5,1975,716,969,969,969,440,122000
13891,16,2007,1400,1710,1710,1710,866,372402
14803,14,1971,416,825,1097,1993,495,190000
13500,4,1960,429,1602,1252,1252,564,235000
11340,17,1923,0,1200,1200,1200,312,125000
9600,7,1924,0,572,572,1096,0,79000
7200,12,1950,0,0,1040,1040,625,109500
12003,23,2009,0,774,774,1968,680,269500
12552,21,2004,222,991,991,1947,678,254900
19378,8,2005,57,1392,1392,2462,576,320000
11120,24,1984,660,1232,1232,1232,516,162500
13688,16,2003,1016,1572,1572,2668,726,412500
12182,16,2005,1201,1541,1541,1541,532,220000
5500,17,1956,0,882,882,882,0,103200
5400,17,1926,370,1149,1149,1616,216,152000
10106,7,1940,351,644,808,1355,0,127500
10708,4,1955,379,1617,1867,1867,303,190000
10562,16,2007,1288,1582,1610,2161,789,325624
8244,8,2004,0,840,840,1720,440,183500
16669,23,1981,0,1686,1707,1707,511,228000
12358,17,1941,360,720,854,1382,660,128500
31770,12,1960,639,1080,1656,1656,528,215000
5306,22,1987,495,1064,1064,1767,504,239000
10197,12,1961,288,1362,1362,1362,504,163000
12416,23,1986,1398,1606,1651,1651,616,184000
12615,7,1950,477,1202,2158,2158,576,243000
