LotFrontage,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,OpenPorchSF,SalePrice
65.0,8450,5,7,2003,2003,196.0,706,150,856,856,854,1710,548,61,208500
80.0,9600,24,6,1976,1976,0.0,978,284,1262,1262,0,1262,460,0,181500
68.0,11250,5,7,2001,2002,162.0,486,434,920,920,866,1786,608,42,223500
60.0,9550,6,7,1915,1970,0.0,216,540,756,961,756,1717,642,35,140000
84.0,14260,15,8,2000,2000,350.0,655,490,1145,1145,1053,2198,836,84,250000
85.0,14115,11,5,1993,1995,0.0,732,64,796,796,566,1362,480,30,143000
75.0,10084,21,8,2004,2005,186.0,1369,317,1686,1694,0,1694,636,57,307000
70.04995836802665,10382,14,7,1973,1973,240.0,859,216,1107,1107,983,2090,484,204,200000
51.0,6120,17,7,1931,1950,0.0,0,952,952,1022,752,1774,468,0,129900
50.0,7420,3,5,1939,1950,0.0,851,140,991,1077,0,1077,205,4,118000
70.0,11200,19,5,1965,1965,0.0,906,134,1040,1040,0,1040,384,0,129500
85.0,11924,16,9,2005,2006,286.0,998,177,1175,1182,1142,2324,736,21,345000
70.04995836802665,12968,19,5,1962,1962,0.0,737,175,912,912,0,912,352,0,144000
91.0,10652,5,7,2006,2007,306.0,0,1494,1494,1494,0,1494,840,33,279500
70.04995836802665,10920,12,6,1960,1960,212.0,733,520,1253,1253,0,1253,352,213,157000
51.0,6120,3,7,1929,2001,0.0,0,832,832,854,0,854,576,112,132000
70.04995836802665,11241,12,6,1970,1970,180.0,578,426,1004,1004,0,1004,480,0,149000
72.0,10791,19,4,1967,1967,0.0,0,0,0,1296,0,1296,516,0,90000
66.0,13695,20,5,2004,2004,0.0,646,468,1114,1114,0,1114,576,102,159000
70.0,7560,12,5,1958,1965,0.0,504,525,1029,1339,0,1339,294,0,139000
101.0,14215,16,8,2005,2006,380.0,0,1158,1158,1158,1218,2376,853,154,325300
